user_id,y,x_001,x_002,x_003,x_004,x_005,x_006,x_019,x_020,x_021,x_027,x_033,x_034,x_035,x_036,x_037,x_038,x_041,x_042,x_044,x_045,x_048,x_049,x_052,x_054,x_055,x_056,x_074,x_075,x_077,x_078,x_088,x_089,x_121,x_122,x_124,x_125,x_131,x_132,x_134,x_137,x_142,x_143,x_144,x_149,x_154,x_155,x_157,x_159,x_162,x_188,x_189,x_190,x_196,x_197,x_198
A00002,0,0.0,32.0,0,0,0,0,0,4,5,1,1,6,3,0,0,0,8.0,5.0,1.769075516,3974.5,5.0,4.0,2053.5,1.445727814,2.0,1.0,2.0,1.0,2.0,1253.0,1.0,1.0,2.0,1.0,2.0,1253.0,1820.0,1.0,4.0,1.0,1.0,5460.0,4.0,1.0,2.0,2.0,2.0,2000.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
A00005,0,0.0,29.0,0,0,0,0,0,2,3,1,1,5,0,0,0,0,49.0,2.0,6.910101736,6804.0,3.025,1.4375,499.8793750000001,312.34625,49.0,2.0,49.0,2.0,6.910101736,6804.0,3.85,3.8,49.0,2.0,6.910101736,6804.0,600.0,0.0,0.0,1.0,1.0,7700.01,2.0,1.0,0.0,0.0,0.0,1654.9418749999998,1.0,0.0,0.0,0.0,4.0,4.0,6.0
A00006,0,0.0,31.0,0,0,0,0,0,3,3,2,2,5,1,0,0,0,7.0,5.0,2.510208671,14380.9,2.0,2.0,3430.0,0.943726171,7.0,5.0,6.0,4.0,2.553842364,11380.9,3.85,3.8,6.0,4.0,2.553842364,11380.9,3000.0,1.0,1.0,1.0,1.0,9000.0,3.0,3.0,2.0,5.0,5.0,5221.38,4.0,2.0,2.0,2.0,6.0,6.0,10.0
A00008,0,0.0,22.0,0,0,0,0,0,2,2,0,1,3,1,0,0,0,2.0,1.0,2.0,521.0,3.025,1.4375,499.97650000000004,500.49825,2.0,1.0,2.0,1.0,2.0,521.0,3.85,3.8125,10.0,4.0,1.837645136,10644.2,19000.0,0.0,0.0,0.0,1.0,19000.0,1.0,2.0,2.0,0.0,0.0,3320.0,2.0,2.0,2.0,3.0,3.0,3.0,7.0
A00009,0,0.0,31.0,0,0,0,0,0,4,0,1,0,2,1,1,0,0,10.0,4.0,1.837645136,9802.0,3.025,1.4375,499.67650000000003,287.25875,9.0,4.0,9.0,4.0,1.8373357,10278.16,3.85,3.8125,10.0,4.0,1.837645136,10644.2,600.0,0.0,0.0,1.0,1.0,7700.01,2.0,1.0,0.0,0.0,0.0,1651.2847499999996,1.0,0.0,0.0,0.0,4.0,4.0,6.0
A00013,0,0.0,32.0,0,0,0,0,0,7,1,0,1,3,1,4,0,0,10.0,4.0,1.837645136,9802.0,3.025,1.4375,499.8885,406.41075,9.0,4.0,9.0,4.0,1.8373357,10278.16,3.85,3.8125,10.0,4.0,1.837645136,10644.2,0.22,0.0,0.0,0.0,1.0,0.22,1.0,0.0,0.0,0.0,0.0,1022.6852500000002,0.0,0.0,0.0,0.0,9.0,5.0,12.0
A00015,0,0.0,51.0,0,0,0,0,0,4,1,2,2,4,0,1,0,0,9.0,2.0,2.111367263,11325.06,1.0,1.0,218.3,218.3,9.0,2.0,9.0,2.0,2.111367263,11325.06,12.0,3.0,9.0,2.0,2.111367263,11325.06,1000.0,0.0,0.0,2.0,2.0,4000.0,2.0,1.0,1.0,0.0,0.0,1220.21,2.0,8.0,4.0,13.0,15.0,10.0,23.0
A00017,1,0.0,28.0,0,0,0,0,0,4,4,1,2,6,2,0,0,0,16.0,5.0,1.935677822,29660.0,3.025,1.4375,499.95200000000006,412.5110000000001,16.0,5.0,16.0,5.0,1.935677822,29660.0,3.85,3.8,16.0,5.0,1.935677822,29660.0,1900.0,1.0,1.0,6.0,8.0,24234.11,9.0,6.0,10.0,7.0,6.0,7631.2,8.0,8.0,8.0,9.0,15.0,15.0,22.0
A00018,0,0.0,28.0,0,0,0,0,0,3,7,1,3,9,0,1,0,0,27.0,6.0,2.392562393,50652.04,3.025,1.4375,500.14162500000003,500.42525000000006,27.0,6.0,27.0,6.0,2.392562393,50652.04,2.0,2.0,27.0,6.0,2.392562393,50652.04,5000.0,3.0,4.0,8.0,8.0,66550.34,13.0,5.0,5.0,1.0,1.0,10016.95,7.0,5.0,5.0,7.0,13.0,13.0,42.0
A00020,1,0.0,28.0,0,0,0,0,0,4,3,1,3,5,2,0,0,0,16.0,4.0,1.120753927,17141.54,1.0,1.0,78.0,78.0,15.0,3.0,15.0,3.0,1.382914975,17063.54,3.0,1.0,15.0,3.0,1.382914975,17063.54,0.34,3.0,4.0,4.0,5.0,10640.56,6.0,1.0,1.0,0.0,0.0,415.07,3.0,2.0,2.0,2.0,7.0,7.0,10.0
